Тэг,Название,Нижняя граница зарплаты,Верхняя граница зарплаты,Валюта
Go,Go / Pyhton разработчик (middle/senior),300000,,RUR
Go,"Старший разработчик Go, Маркетплейс, Тревел",,,
Go,Аналитик безопасности кода (Go),,,
Go,Go developer,,,
Go,"Старший разработчик Go, Логистика, Многоуровневая сортировка",,,
Go,"Разработчик Go, Маркетплейс, Маркетинговая платформа",,,
Тэг,Название,Нижняя граница зарплаты,Верхняя граница зарплаты,Валюта
Rust ,Rust developer,200000,,RUR
Rust ,Rust Developer,150000,400000,RUR
Rust ,Rust/C++ developer (Membrana),,,
Rust ,Rust developer,250000,,RUR
Rust ,Разработчик Rust (Рекламная платформа),,,
Rust ,Rust-разработчик (разработка для поискового движка),220000,,RUR
Rust ,Rust разработчик,,,
Rust ,Rust Game Developer,,,
Rust ,Rust разработчик,,,
Rust ,Rust разработчик,,350000,RUR
Rust ,Senior Rust Developer,,,
Rust ,Старший разработчик (C\Rust),,,
